problem,instance,method,method_label,bks_objective,hardware_objective,hardware_feasible,gap_to_bks_percent,selected_qpus,panel_a_included,source_artifact
MIS,1dc.64,cvar_vqe,CVaR-VQE,10,18,false,not_available,rigetti_ankaa3|ibm_quantum,false,research_benchmark/research_benchmark/results_hardware/mis/mis_cvar_vqe/1dc_64_txt/result.json
MIS,1dc.64,qaoa,QAOA,10,8,false,not_available,ibm_quantum,false,research_benchmark/research_benchmark/results_hardware/mis/mis_qaoa/1dc_64_txt/result.json
MIS,1dc.64,ma_qaoa,MA-QAOA,10,7,false,not_available,ibm_quantum,false,research_benchmark/research_benchmark/results_hardware/mis/mis_ma_qaoa/1dc_64_txt/result.json
MIS,1dc.64,ws_qaoa,WS-QAOA,10,7,false,not_available,ibm_quantum,false,research_benchmark/research_benchmark/results_hardware/mis/mis_ws_qaoa/1dc_64_txt/result.json
MIS,1dc.64,qrao,QRAO,10,18,false,not_available,ibm_quantum,false,research_benchmark/research_benchmark/results_hardware/mis/mis_qrao/1dc_64_txt/result.json
MIS,1dc.64,pce,PCE,10,7,false,not_available,ibm_quantum,false,research_benchmark/research_benchmark/results_hardware/mis/mis_pce/1dc_64_txt/result.json
MIS,1dc.128,vqe,VQE,16,40,false,not_available,ibm_quantum,false,research_benchmark/research_benchmark/results_hardware/mis/mis_vqe/1dc_128_txt/result.json
MIS,1dc.128,cvar_vqe,CVaR-VQE,16,41,false,not_available,ibm_quantum,false,research_benchmark/research_benchmark/results_hardware/mis/mis_cvar_vqe/1dc_128_txt/result.json
MIS,1dc.128,qaoa,QAOA,16,24,false,not_available,ibm_quantum,false,research_benchmark/research_benchmark/results_hardware/mis/mis_qaoa/1dc_128_txt/result.json
MIS,1dc.128,ma_qaoa,MA-QAOA,16,28,false,not_available,ibm_quantum,false,research_benchmark/research_benchmark/results_hardware/mis/mis_ma_qaoa/1dc_128_txt/result.json
MIS,1dc.128,ws_qaoa,WS-QAOA,16,20,false,not_available,ibm_quantum,false,research_benchmark/research_benchmark/results_hardware/mis/mis_ws_qaoa/1dc_128_txt/result.json
MIS,1dc.128,qrao,QRAO,16,44,false,not_available,ibm_quantum,false,research_benchmark/research_benchmark/results_hardware/mis/mis_qrao/1dc_128_txt/result.json
MIS,1dc.128,pce,PCE,16,46,false,not_available,ibm_quantum,false,research_benchmark/research_benchmark/results_hardware/mis/mis_pce/1dc_128_txt/result.json
